slug	name_before	name_after	kana_before	kana_after	latin_before	latin_after	status	sources	note
kono-motomichi	河野 本道	河野 本道		こうの もとみち	Motomichi Kōno	Motomichi Kōno	verified-update	https://id.ndl.go.jp/auth/ndlna/00035468	姓名と生年が一致するNDL典拠の読み。
segawa-kiyoko	瀬川 清子	瀬川 清子		せがわ きよこ	Kiyoko Segawa	Kiyoko Segawa	verified-update	https://id.ndl.go.jp/auth/ndlna/00069310	姓名と生年が一致するNDL典拠の読み。
p-1cwkgj0	床 州生	床 州生		とこ しゅうせい		Toko Shusei	verified-update	https://www.jstage.jst.go.jp/article/namjournal/2024/3/2024_2024-05.0/_pdf/-char/ja	同じインタビューの編集者による紹介文でTOKO Shusei。
p-1b2n71h	中里 巧	中里 巧		なかざと さとし		Nakazato Satoshi	verified-update	https://id.ndl.go.jp/auth/ndlna/00346122	既存の人物同定で照合したNDL典拠の読み。
baba-yumi	馬場 裕美	馬場 裕美			Baba Yumi	Baba Yumi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
osaka-taku	大坂拓	大坂拓		おおさか たく	Osaka Taku	Osaka Taku	verified-update	https://id.ndl.go.jp/auth/ndlna/034031464	既存の人物同定で照合したNDL典拠の読み。
tanimoto-akihisa	谷本 晃久	谷本 晃久		たにもと あきひさ	Tanimoto Akihisa	Tanimoto Akihisa	verified-update	https://id.ndl.go.jp/auth/ndlna/001171975	既存の人物同定で照合したNDL典拠の読み。
p-1yumqo7	津田 命子	津田 命子		つだ のぶこ	Tsuda Nobuko	Tsuda Nobuko	verified-update	https://id.ndl.go.jp/auth/ndlna/01161229	既存の人物同定で照合したNDL典拠の読み。
onai-toru	小内 透	小内 透		おない とおる	Tōru Onai	Tōru Onai	verified-update	https://id.ndl.go.jp/auth/ndlna/00409028	姓名と生年が一致するNDL典拠の読み。
ivar-lindquist	Ivar Lindquist	Ivar Lindquist			Ivar Lindquist	Ivar Lindquist	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
vaclav-blazek	Václav Blažek	Václav Blažek			Václav Blažek	Václav Blažek	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
oki	Oki .	Oki .			Oki .	Oki .	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
james-patrie	James Patrie	James Patrie			James Patrie	James Patrie	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
benon-zbigniew-sza-ek	Benon Zbigniew Szałek	Benon Zbigniew Szałek			Benon Zbigniew Szałek	Benon Zbigniew Szałek	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
sakakibara-masafumi	榊原 正文	榊原 正文		さかきばら まさふみ	Sakakibara Masafumi	Sakakibara Masafumi	verified-update	https://id.ndl.go.jp/auth/ndlna/00365660	既存の人物同定で照合したNDL典拠の読み。
ito-seichi	伊藤 せいち	伊藤 せいち		いとう せいち	Itō Seichi	Itō Seichi	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=9624&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
p-y2rdpz	地蔵 慶護	地蔵 慶護		じぞう けいご		Jizo Keigo	verified-update	https://id.ndl.go.jp/auth/ndlna/00162153	既存の人物同定で照合したNDL典拠の読み。
takahashi-shin	高橋 慎	高橋 慎			Takahashi Shin	Takahashi Shin	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
miyoshi-isao	三好 勲	三好 勲			Miyoshi Isao	Miyoshi Isao	kana-unresolved		法政目録のイサムと既存のIsaoが不一致。
akiyama-hidetoshi	秋山 秀敏	秋山 秀敏			Akiyama Hidetoshi	Akiyama Hidetoshi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1d9nra9	岡部 卓	岡部 卓					reading-unresolved		確定読みの裏付けを未確認。
ogiya-masayasu	扇谷 昌康	扇谷 昌康		おうぎや まさやす	Ōgiya Masayasu	Ōgiya Masayasu	verified-update	https://id.ndl.go.jp/auth/ndlna/00058242	既存の人物同定で照合したNDL典拠の読み。
miyazaki-kota	宮崎 耕太	宮崎 耕太			Miyazaki Kōta	Miyazaki Kōta	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
watanabe-takashi	渡辺 隆	渡辺 隆			Takashi Watanabe	Takashi Watanabe	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1i159kw	小林 耕一	小林 耕一					reading-unresolved		確定読みの裏付けを未確認。
nakano-yoshinobu	中野 良宣	中野 良宣			Nakano Yoshinobu	Nakano Yoshinobu	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
iguchi-toshio	井口 利夫	井口 利夫			Iguchi Toshio	Iguchi Toshio	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
shimizu-seijiro	清水 清次郎	清水 清次郎		しみず せいじろう	Shimizu Seijirō	Shimizu Seijirō	verified-update	https://id.ndl.go.jp/auth/ndlna/00173763	既存の人物同定で照合したNDL典拠の読み。
takahashi-motoi	高橋 基	高橋 基			Motoi Takahashi	Motoi Takahashi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-12o91rj	木村 博海	木村 博海					reading-unresolved		確定読みの裏付けを未確認。
taira-ryuichi	平 隆一	平 隆一			Taira Ryūichi	Taira Ryūichi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kasai-takechiyo	葛西 猛千代	葛西 猛千代		かさい たけちよ	Kasai Takechiyo	Kasai Takechiyo	verified-update	https://id.ndl.go.jp/auth/ndlna/00027000	既存の人物同定で照合したNDL典拠の読み。
p-1g2agq6	山下 栄光	山下 栄光		やました えいみつ		Yamashita Eimitsu	verified-update	https://id.ndl.go.jp/auth/ndlna/001362944	登録著作と同じ著作を出典とするNDL典拠の読み。
p-zo7x46	明石 一紀	明石 一紀		あかし かずのり		Akashi Kazunori	verified-update	https://id.ndl.go.jp/auth/ndlna/00192670	既存の人物同定で照合したNDL典拠の読み。
p-yj098k	早田 国光	早田 国光					reading-unresolved		確定読みの裏付けを未確認。
p-x4n5eb	狩野 義美	狩野 義美		かりの よしみ		Karino Yoshimi	verified-update	https://id.ndl.go.jp/auth/ndlna/01116047	既存の人物同定で照合したNDL典拠の読み。
sudo-ryusen	須藤 隆仙	須藤 隆仙		すどう りゅうせん	Ryūsen Sudō	Ryūsen Sudō	verified-update	https://id.ndl.go.jp/auth/ndlna/00073786	姓名と生年が一致するNDL典拠の読み。
p-14v1ctr	本田 克代	本田 克代					reading-unresolved		確定読みの裏付けを未確認。
p-pfh2dq	土井 勝典	土井 勝典					reading-unresolved		確定読みの裏付けを未確認。
p-70s9t4	八重 九郎	八重 九郎					reading-unresolved		確定読みの裏付けを未確認。
narumi-hideshi	鳴海 日出志	鳴海 日出志		なるみ ひでし	Narumi Hideshi	Narumi Hideshi	verified-update	https://id.ndl.go.jp/auth/ndlna/00186544	既存の人物同定で照合したNDL典拠の読み。
p-1cyxo40	尾崎 功	尾崎 功		おざき いさお		Ozaki Isao	verified-update	https://id.ndl.go.jp/auth/ndlna/00987315	既存の人物同定で照合したNDL典拠の読み。
kojima-kyoko	児島 恭子	児島 恭子		こじま きょうこ	Kyōko Kojima	Kyōko Kojima	verified-update	https://id.ndl.go.jp/auth/ndlna/00907200	姓名と生年が一致するNDL典拠の読み。
p-1prw9wa	中野 克良	中野 克良					reading-unresolved		確定読みの裏付けを未確認。
tezuka-yoritaka	手塚 順孝	手塚 順孝			Tezuka Yoritaka	Tezuka Yoritaka	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-gitgqw	打田 元輝	打田 元輝					reading-unresolved		確定読みの裏付けを未確認。
pon-huci	ポン・フチ	ポン・フチ		ぽん ふち	Pon Huci	Pon Huci	verified-update	https://id.ndl.go.jp/auth/ndlna/00064365	既存の人物同定で照合したNDL典拠の読み。
p-1avld4w	中村 幽	中村 幽					reading-unresolved		確定読みの裏付けを未確認。
p-1nkxafa	佐川 年秀	佐川 年秀		さがわ としひで		Sagawa Toshihide	verified-update	https://id.ndl.go.jp/auth/ndlna/00809160	既存の人物同定で照合したNDL典拠の読み。
p-1ktul8c	岡本 武雄	岡本 武雄					reading-unresolved		確定読みの裏付けを未確認。
hirayama-hiroto	平山 裕人	平山 裕人		ひらやま ひろと	Hiroto Hirayama	Hiroto Hirayama	verified-update	https://id.ndl.go.jp/auth/ndlna/00428974	姓名と生年が一致するNDL典拠の読み。
yamamoto-tasuke	山本 多助	山本 多助		やまもと たすけ	Tasuke Yamamoto	Tasuke Yamamoto	verified-update	https://id.ndl.go.jp/auth/ndlna/00120379	姓名と生年が一致するNDL典拠の読み。
p-k7l165	戸部 千春	戸部 千春		とべ ちはる		Tobe Chiharu	verified-update	https://id.ndl.go.jp/auth/ndlna/033626494	既存の人物同定で照合したNDL典拠の読み。
goto-toshio	後藤 利雄	後藤 利雄		ごとう としお	Gotō Toshio	Gotō Toshio	verified-update	https://id.ndl.go.jp/auth/ndlna/00006173	既存の人物同定で照合したNDL典拠の読み。
fujimura-hisakazu	藤村 久和	藤村 久和		ふじむら ひさかず	Hisakazu Fujimura	Hisakazu Fujimura	verified-update	https://id.ndl.go.jp/auth/ndlna/00129451	姓名と生年が一致するNDL典拠の読み。
uoi-kazuyoshi	魚井 一由	魚井 一由		うおい かずよし	Kazuyoshi Uoi	Kazuyoshi Uoi	verified-update	https://id.ndl.go.jp/auth/ndlna/00252137	既存の人物同定で照合したNDL典拠の読み。
p-1ve2u2k	青木 茂治	青木 茂治					reading-unresolved		確定読みの裏付けを未確認。
p-1kl2r4i	中澤 道三	中澤 道三					reading-unresolved		確定読みの裏付けを未確認。
saga-ayami	佐賀 彩美	佐賀 彩美			Saga Ayami	Saga Ayami	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
tachibana-yoshimitsu	橘 善光	橘 善光		たちばな よしみつ	Tachibana Yoshimitsu	Tachibana Yoshimitsu	verified-update	https://id.ndl.go.jp/auth/ndlna/00083103	既存の人物同定で照合したNDL典拠の読み。
p-1hmrc4r	筒井 功	筒井 功		つつい いさお		Tsutsui Isao	verified-update	https://id.ndl.go.jp/auth/ndlna/00189562	既存の人物同定で照合したNDL典拠の読み。
p-1ixvufv	菅原 進	菅原 進		すがわら すすむ		Sugawara Susumu	verified-update	https://id.ndl.go.jp/auth/ndlna/01237129	既存の人物同定で照合したNDL典拠の読み。
shirai-katsuhiko	白井 克彦	白井 克彦		しらい かつひこ	Katsuhiko Shirai	Katsuhiko Shirai	verified-update	https://id.ndl.go.jp/auth/ndlna/00141316	姓名と生年が一致するNDL典拠の読み。
sugimura-kinarabukku	杉村 キナラブック	杉村 キナラブック		すぎむら きならぶっく	Kinarabukku Sugimura	Kinarabukku Sugimura	verified-update	https://id.ndl.go.jp/auth/ndlna/00074451	姓名と生年が一致するNDL典拠の読み。
tanaka-yoshito	田中 吉人	田中 吉人			Tanaka Yoshito	Tanaka Yoshito	kana-unresolved		法政目録のヨシヒトと既存のYoshitoが不一致。
ishihara-makoto	石原 誠	石原 誠			Makoto Ishihara	Makoto Ishihara	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
oshima-minoru	大島 稔	大島 稔		おおしま みのる	Ōshima Minoru	Ōshima Minoru	verified-update	https://id.ndl.go.jp/auth/ndlna/01041583	既存の人物同定で照合したNDL典拠の読み。
hishinuma-uichi	菱沼 右一	菱沼 右一		ひしぬま ういち	Hishinuma Uichi	Hishinuma Uichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00011892	既存の人物同定で照合したNDL典拠の読み。
hashio-naokazu	橋尾 直和	橋尾 直和			Naokazu Hashio	Naokazu Hashio	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
oide-ayako	大出 あや子	大出 あや子		おおいで あやこ	Ōide Ayako	Ōide Ayako	verified-update	https://id.ndl.go.jp/auth/ndlna/00155614	既存の人物同定で照合したNDL典拠の読み。
p-kmjzaq	川村 シンリツ・エオリパック・アイヌ	川村 シンリツ・エオリパック・アイヌ					reading-unresolved		確定読みの裏付けを未確認。
p-1f5kvww	橋本 潔	橋本 潔		はしもと きよし		Hashimoto Kiyoshi	verified-update	https://id.ndl.go.jp/auth/ndlna/00919234	既存の人物同定で照合したNDL典拠の読み。
minami-noriyuki	南 哲行	南 哲行			Noriyuki Minami	Noriyuki Minami	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
okada-michiaki	岡田 路明	岡田 路明		おかだ みちあき	Okada Michiaki	Okada Michiaki	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=14966&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
p-9u49vf	北洞 孝雄	北洞 孝雄		きたぼら たかお		Kitabora Takao	verified-update	https://www.jomonart.or.jp/pdf/goshinmoro-newsletter-vol05.pdf	本田優子のインタビューで本人の知る研究者をきたぼら・たかおと紹介。法政の疑問符付きキタホラは採用しない。
p-1cbtbaa	鍛治 明香	鍛治 明香		かじ さやか		Kaji Sayaka	verified-update	https://ci.nii.ac.jp/author/DA10302877	同じ著書「イタㇰカシカムイ」の著者典拠にカジ サヤカ。
ono-yoneichi	小野 米一	小野 米一		おの よねいち	Ono Yoneichi	Ono Yoneichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00117587	既存の人物同定で照合したNDL典拠の読み。
p-1toajjl	佐藤 知巳	佐藤 知巳					reading-unresolved		確定読みの裏付けを未確認。
p-1lg7zk7	中畠 孝幸	中畠 孝幸		なかはた たかゆき		Nakahata Takayuki	verified-update	https://ir.library.osaka-u.ac.jp/repo/ouka/all/8045/	本人・所属機関または原著論文の著者表記で確認。
suga-yasuo	菅 泰雄	菅 泰雄			Suga Yasuo	Suga Yasuo	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1hcevqu	尾崎 喜光	尾崎 喜光		おざき よしみつ		Ozaki Yoshimitsu	verified-update	https://id.ndl.go.jp/auth/ndlna/01147845	既存の人物同定で照合したNDL典拠の読み。
seino-haruki	清野 春樹	清野 春樹		せいの はるき	Seino Haruki	Seino Haruki	verified-update	https://id.ndl.go.jp/auth/ndlna/01113028	既存の人物同定で照合したNDL典拠の読み。
p-jg0yjt	喜多 直人	喜多 直人		きた なおと		Kita Naoto	verified-update	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202201007675417283	本人・所属機関または原著論文の著者表記で確認。
magata-tokumatsu	間方 徳松	間方 徳松		まかた とくまつ	Magata Tokumatsu	Makata Tokumatsu	verified-update	https://ci.nii.ac.jp/author/DA08672997 https://id.ndl.go.jp/auth/ndlna/00121838	NDL典拠00121838、当該著書と一致。
p-1c6rkvl	土屋 茂	土屋 茂		つちや しげる		Tsuchiya Shigeru	verified-update	https://id.ndl.go.jp/auth/ndlna/00352939	既存の人物同定で照合したNDL典拠の読み。
p-1mjn4tu	高柳 茂	高柳 茂					reading-unresolved		確定読みの裏付けを未確認。
saikaku-sadayoshi	西鶴 定嘉	西鶴 定嘉			Saikaku Sadayoshi	Saikaku Sadayoshi	kana-unresolved		NDL/CiNiiはサダカ、学会論文・法政目録はサダヨシ。本人の読みを確定できない。
ito-katsuhisa	伊藤 勝久	伊藤 勝久		いとう かつひさ	Katsuhisa Itō	Katsuhisa Itō	verified-update	https://id.ndl.go.jp/auth/ndlna/01168320	既存の人物同定で照合したNDL典拠の読み。
p-ywxeun	畑中 友次	畑中 友次		はたなか ともじ		Hatanaka Tomoji	verified-update	https://id.ndl.go.jp/auth/ndlna/00008825	既存の人物同定で照合したNDL典拠の読み。
p-11ol90n	太宰 幸子	太宰 幸子		だざい ゆきこ		Dazai Yukiko	verified-update	https://id.ndl.go.jp/auth/ndlna/01153074	既存の人物同定で照合したNDL典拠の読み。
p-1omusa0	島田 静雄	島田 静雄					reading-unresolved		確定読みの裏付けを未確認。
p-1gy7bfv	山口 和彦	山口 和彦		やまぐち かずひこ		Yamaguchi Kazuhiko	verified-update	https://researcher.sapmed.ac.jp/html/100000043_ja.html	同じアイヌ語旭川方言語彙論文を掲載する本人の大学総覧。
honda-yuko	本田 優子	本田 優子		ほんだ ゆうこ	Honda Yūko	Honda Yūko	verified-update	https://id.ndl.go.jp/auth/ndlna/00669825	既存の人物同定で照合したNDL典拠の読み。
p-18cdb7j	並木 翔太郎	並木 翔太郎		なみき しょうたろう		Namiki Shotaro	verified-update	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=201801014971578920	本人・所属機関または原著論文の著者表記で確認。
uemura-yukio	上村 幸雄	上村 幸雄		うえむら ゆきお	Yukio Uemura	Yukio Uemura	verified-update	https://id.ndl.go.jp/auth/ndlna/00088157	姓名と生年が一致するNDL典拠の読み。
inoue-takuya	井上拓也	井上拓也			Inoue Takuya	Inoue Takuya	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-11492jn	大塚 梨恵	大塚 梨恵					reading-unresolved		確定読みの裏付けを未確認。
p-1p39exq	上野 愛理	上野 愛理					reading-unresolved		確定読みの裏付けを未確認。
p-34nem	倉重 裕美	倉重 裕美					reading-unresolved		確定読みの裏付けを未確認。
p-1lf7xk2	中田 恭平	中田 恭平					reading-unresolved		確定読みの裏付けを未確認。
p-1g2da7z	山下 真悟	山下 真悟					reading-unresolved		確定読みの裏付けを未確認。
p-1p89kig	坂田 亜里沙	坂田 亜里沙					reading-unresolved		確定読みの裏付けを未確認。
ono-yuki	小野 雄貴	小野 雄貴			Yūki Ono	Yūki Ono	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
maeda-manami	前田 愛美	前田 愛美					reading-unresolved		確定読みの裏付けを未確認。
p-1m0sbcb	山田 祥一	山田 祥一					reading-unresolved		確定読みの裏付けを未確認。
tachibana-shoichi	橘 正一	橘 正一		たちばな しょういち	Tachibana Shōichi	Tachibana Shōichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00083083	既存の人物同定で照合したNDL典拠の読み。
p-15wtsj1	大矢 京右	大矢 京右		おおや きょうすけ		Oya Kyosuke	verified-update	https://jglobal.jst.go.jp/detail?JGLOBAL_ID=202501018157450815	本人・所属機関または原著論文の著者表記で確認。
miyaoka-osahito	宮岡 伯人	宮岡 伯人		みやおか おさひと	Osahito Miyaoka	Osahito Miyaoka	verified-update	https://id.ndl.go.jp/auth/ndlna/00103855	姓名と生年が一致するNDL典拠の読み。
p-1o7hzxb	長田 祐季	長田 祐季					reading-unresolved		確定読みの裏付けを未確認。
yoshida-katsumi	吉田 和美	吉田 和美			Katsumi Yoshida	Katsumi Yoshida	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1jj1xvq	三浦 亜耶	三浦 亜耶					reading-unresolved		確定読みの裏付けを未確認。
kochi-rie	甲地 利恵	甲地 利恵			Kōchi Rie	Kōchi Rie	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-n3f6iu	狩俣 恵一	狩俣 恵一		かりまた けいいち		Karimata Keiichi	verified-update	https://id.ndl.go.jp/auth/ndlna/00799691	既存の人物同定で照合したNDL典拠の読み。
kazama-shinjiro	風間 伸次郎	風間 伸次郎		かざま しんじろう	Kazama Shinjirō	Kazama Shinjirō	verified-update	https://id.ndl.go.jp/auth/ndlna/00383618	姓名と生年が一致するNDL典拠の読み。
ogihara-shinko	荻原 真子	荻原 真子		おぎはら しんこ	Ogihara Shinko	Ogihara Shinko	verified-update	https://id.ndl.go.jp/auth/ndlna/00126111	既存の人物同定で照合したNDL典拠の読み。
furuhara-toshihiro	古原 敏弘	古原 敏弘		こはら としひろ	Furuhara Toshihiro	Kohara Toshihiro	verified-update	https://dl.ndl.go.jp/view/prepareDownload?contentNo=1&itemId=info%3Andljp%2Fpid%2F10207345 https://id.ndl.go.jp/auth/ndlna/01000125	所属機関の研究職員紹介にふりがな。
yasuda-chinatsu	安田 千夏	安田 千夏			Yasuda Chinatsu	Yasuda Chinatsu	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1l8orb9	鈴木明世	鈴木明世		すずき あきよ		Suzuki Akiyo	verified-update	https://www.hm.pref.hokkaido.lg.jp/study/staff/suzuki-akiyo/	本人・所属機関または原著論文の著者表記で確認。
kamemaru-yukiko	亀丸由紀子	亀丸由紀子			Kamemaru Yukiko	Kamemaru Yukiko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1dcznn	沖野 慎二	沖野 慎二					reading-unresolved		確定読みの裏付けを未確認。
narita-shuichi	成田 修一	成田 修一		なりた しゅういち	Narita Shūichi	Narita Shūichi	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=8989&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。
hirota-toru	廣田 徹	廣田 徹			Hirota Tōru	Hirota Tōru	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
vattukumpu-tero	Vattukumpu Tero	Vattukumpu Tero			Vattukumpu Tero	Vattukumpu Tero	non-Japanese-script		日本語以外の表記につき、かなの照合対象外。
matsuna-takashi	松名 隆	松名 隆			Matsuna Takashi	Matsuna Takashi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1clrtot	塩谷 亨	塩谷 亨		しおのや とおる		Shionoya Toru	verified-update	https://rdsoran.muroran-it.ac.jp/html/100000210_ja.html	本人・所属機関または原著論文の著者表記で確認。
nagata-yoshishige	永田 良茂	永田 良茂			Nagata Yoshishige	Nagata Yoshishige	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-y9ma1q	田中 勝也	田中 勝也		たなか かつや		Tanaka Katsuya	verified-update	https://id.ndl.go.jp/auth/ndlna/00081575	既存の人物同定で照合したNDL典拠の読み。
asakura-toshimitsu	朝倉 利光	朝倉 利光		あさくら としみつ	Toshimitsu Asakura	Toshimitsu Asakura	verified-update	https://id.ndl.go.jp/auth/ndlna/00899437	姓名と生年が一致するNDL典拠の読み。
inoue-koichi	井上 紘一	井上 紘一		いのうえ こういち	Kōichi Inoue	Kōichi Inoue	verified-update	https://id.ndl.go.jp/auth/ndlna/00019599	既存の人物同定で照合したNDL典拠の読み。
terada-yoshitaka	寺田 吉孝	寺田 吉孝			Yoshitaka Terada	Yoshitaka Terada	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
mori-masao	護 雅夫	護 雅夫		もり まさお	Mori Masao	Mori Masao	verified-update	https://id.ndl.go.jp/auth/ndlna/00046749	姓名と生年が一致するNDL典拠の読み。
yasuda-setsuhiko	安田 節彦	安田 節彦			Yasuda Setsuhiko	Yasuda Setsuhiko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
koyama-shohei	小山 正平	小山 正平			Shohei Koyama	Shohei Koyama	kana-unresolved		NDLのオヤマと既存のKoyamaが不一致。一次資料の裏付けを追加で要する。
ito-kohei	伊藤 公平	伊藤 公平		いとう こうへい	Itō Kōhei	Itō Kōhei	verified-update	https://id.ndl.go.jp/auth/ndlna/00022855	既存の人物同定で照合したNDL典拠の読み。
takahashi-akiko	高橋 晶子	高橋 晶子			Akiko Takahashi	Akiko Takahashi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-11xgdoe	菊地 達夫	菊地 達夫		きくち たつお		Kikuchi Tatsuo	verified-update	https://id.ndl.go.jp/auth/ndlna/001332064	既存の人物同定で照合したNDL典拠の読み。
p-1exy4mi	梶浦 浩	梶浦 浩		かじうら ひろし		Kajiura Hiroshi	verified-update	https://id.ndl.go.jp/auth/ndlna/00346152	既存の人物同定で照合したNDL典拠の読み。
p-1p7zrli	仙石 裕子	仙石 裕子					reading-unresolved		確定読みの裏付けを未確認。
p-1ezvvm9	小原 隆幸	小原 隆幸		おばら たかゆき		Obara Takayuki	verified-update	https://id.ndl.go.jp/auth/ndlna/00547008	既存の人物同定で照合したNDL典拠の読み。
matsuki-akira	松木 明	松木 明		まつき あきら	Akira Matsuki	Akira Matsuki	verified-update	https://id.ndl.go.jp/auth/ndlna/00041461	姓名と生年が一致するNDL典拠の読み。
kanemaru-tsuguo	金丸 継夫	金丸 継夫			Kanemaru Tsuguo	Kanemaru Tsuguo	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
kudo-masaki	工藤 雅樹	工藤 雅樹		くどう まさき	Masaki Kudō	Masaki Kudō	verified-update	https://id.ndl.go.jp/auth/ndlna/00102914	姓名と生年が一致するNDL典拠の読み。
p-1l86b0i	鈴木 仁	鈴木 仁		すずき じん		Suzuki Jin	verified-update	https://hdl.handle.net/2115/63905	当該論文の著者表記Suzuki Jin。
p-1gxsmy4	由良 勇	由良 勇		ゆら いさみ		Yura Isami	verified-update	https://id.ndl.go.jp/auth/ndlna/00217615	既存の人物同定で照合したNDL典拠の読み。
p-1ehn8nt	森 美典	森 美典		もり よしすけ		Mori Yoshisuke	verified-update	https://id.ndl.go.jp/auth/ndlna/00181460	既存の人物同定で照合したNDL典拠の読み。
p-1ekqz6t	鎌田 正信	鎌田 正信		かまだ まさのぶ		Kamada Masanobu	verified-update	https://id.ndl.go.jp/auth/ndlna/00527898	既存の人物同定で照合したNDL典拠の読み。
p-1kxg80o	槻舘 尚武	槻舘 尚武		つきだて なおたけ		Tsukidate Naotake	verified-update	https://www.yamanashi-eiwa.ac.jp/guide/guide-868/	本人・所属機関または原著論文の著者表記で確認。
p-1fxhyqx	瀧下 史	瀧下 史					reading-unresolved		確定読みの裏付けを未確認。
tanigawa-kenichi	谷川 健一	谷川 健一		たにがわ けんいち	Ken'ichi Tanigawa	Ken'ichi Tanigawa	verified-update	https://id.ndl.go.jp/auth/ndlna/00082455	姓名と生年が一致するNDL典拠の読み。
p-16gziul	松田 宏介	松田 宏介		まつだ こうすけ		Matsuda Kosuke	verified-update	https://ci.nii.ac.jp/author/DA15117125	同じアイヌ語地名研究の著者典拠、北海道大学学位論文著者カナとも一致。
taniguchi-mamoru	谷口 守	谷口 守			Mamoru Taniguchi	Mamoru Taniguchi	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-1i0xg02	小林 和夫	小林 和夫		こばやし かずお		Kobayashi Kazuo	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=6217&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。 確認されたカナをヘボン式に転写。
p-1qevig6	寺本 千名夫	寺本 千名夫		てらもと ちなお		Teramoto Chinao	verified-update	https://aterui.ws.hosei.ac.jp/togo/detail.php?id=14666&domain=ezo	同じ著作の法政大学北方史統合検索データベースに記載された確定読み。 確認されたカナをヘボン式に転写。
mega-junya	女鹿 潤哉	女鹿 潤哉			Mega Jun’ya	Mega Jun’ya	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
oikawa-akihiko	及川 明彦	及川 明彦			Oikawa Akihiko	Oikawa Akihiko	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
inoue-fumio	井上 文夫	井上 文夫			Inoue Fumio	Inoue Fumio	kana-unresolved		かなの裏付けを未確認。既存のローマ字は今回の確認済み件数に含めない。
p-12syzn8	柳下 み咲	柳下 み咲					reading-unresolved		確定読みの裏付けを未確認。
